ENSG00000004059	ARF5,gtpase activity,retrograde vesicle-mediated transport,protein binding,intracellular protein transport,golgi to endoplasmic reticulum transport,plasma membrane localization
ENSG00000197780	TAF13,transcription initiation factor activity,rna polymerase ii general transcription initiation factor activity,dna binding,protein heterodimerization activity,nucleus localization,positive regulation of transcription initiation by rna polymerase ii
ENSG00000282899	E2F2,transcription factor activity,rna polymerase ii-specific dna binding,regulation of dna-templated transcription,cell cycle regulation,apoptosis evasion,chromatin remodeling
ENSG00000143493	INTS7,snrna processing,regulation of transcription elongation by rna polymerase ii,cellular responses to ionizing radiation and dna damage,nuclear localization,protein binding,none
ENSG00000163125	RPRD2,rna polymerase ii c-terminal domain binding,rna polymerase ii complex binding,mrna 3'-end processing,nucleoplasm localization,transcription preinitiation complex association,critical regulator of transcriptional machinery
ENSG00000148835	TAF5,rna polymerase ii general transcription initiation factor activity,chromatin association,rna polymerase ii preinitiation complex assembly,dna repair regulation,transcriptional regulation by rna polymerase ii,positive regulation of dna-templated transcription
ENSG00000137413	TAF8,rna polymerase ii general transcription initiation factor activity,protein binding activity,transcription factor tfiid complex assembly,rna polymerase ii preinitiation complex assembly,general transcription initiation,chromatin remodeling
ENSG00000101413	RPRD1B,identical protein binding,protein binding,rna polymerase ii ctd heptapeptide repeat phosphatase activity,rna polymerase ii complex binding,rna polymerase ii c-terminal domain binding,mrna 3'-end processing
ENSG00000139579	NABP2,telomeric dna binding,single-stranded dna binding,dna damage response,telomere capping,mitotic g2/m transition checkpoint,double-strand break repair via homologous recombination
ENSG00000164975	SNAPC3,core promoter sequence-specific dna binding,rna polymerase iii type 3 promoter sequence-specific dna binding,bent dna binding,snrna transcription,rna polymerase ii cis-regulatory region sequence-specific dna binding,dna binding
ENSG00000090061	CCNK,rna polymerase ii ctd heptapeptide repeat kinase activity,cyclin-dependent protein serine/threonine kinase activator activity,cyclin-dependent protein serine/threonine kinase regulator activity,protein binding,regulation of signal transduction,regulation of transcription by rna polymerase ii
ENSG00000166478	ZNF143,dna-binding transcription activator activity,rna polymerase ii cis-regulatory region sequence-specific dna binding,dna-binding transcription factor activity,chromatin binding,regulation of dna-templated transcription,positive regulation of transcription by rna polymerase ii
ENSG00000104613	INTS10,snrna processing,transcription elongation by rna polymerase ii,nucleoplasm localization,protein binding,integrator complex subunit function,rna polymerase ii regulation
ENSG00000141425	RPRD1A,rna polymerase ii ctd heptapeptide repeat phosphatase activity,mrna 3'-end processing,rna polymerase ii complex binding,regulation of transcription by rna polymerase ii,transcription preinitiation complex localization,nucleus localization
ENSG00000144161	ZC3H8,rna polymerase ii-specific rna binding,rna binding,transcriptional regulation,dna-binding transcription repressor activity,chromatin organization,nucleus localization
ENSG00000106290	TAF6,transcription coactivation,rna polymerase ii general transcription initiation factor activity,protein heterodimerization activity,dna binding,positive regulation of dna-templated transcription,negative regulation of cell cycle
ENSG00000173559	NABP1,dna binding activity,single-stranded dna binding,protein binding activity,response to ionizing radiation,double-strand break repair via homologous recombination,mitotic g2/m transition checkpoint regulation
ENSG00000083857	FAT1,cell-cell adhesion,cadherin domain-containing protein function,actin filament organization,epithelial cell polarity establishment,molecular interactions with angiotensin response,cell migration role in morphogenesis
ENSG00000138614	INTS14,snrna 3'-end processing,regulation of transcription elongation by rna polymerase ii,protein binding,snrna processing,nucleoplasm localization,nuclear membrane association
ENSG00000108506	INTS2,snrna 3'-end processing,snrna processing,regulation of transcription elongation by rna polymerase ii,protein binding,nucleus localization,nuclear membrane association
ENSG00000138785	INTS12,snrna processing,metal ion binding,transcriptional regulation,snrna 3'-end processing,nucleus localization,regulation of transcription elongation by rna polymerase ii
ENSG00000104299	INTS9,snrna processing,regulation of transcription elongation by rna polymerase ii,protein binding,nucleus localization,cytosol interaction,alternative splicing regulation
ENSG00000164941	INTS8,snrna processing,transcription elongation regulation,nuclear localization,protein binding capabilities,integrator complex function,snrna 3'-end processing
ENSG00000028277	POU2F2,sequence-specific dna binding,dna-binding transcription factor activity,rna polymerase ii cis-regulatory region sequence-specific dna binding,regulation of dna-templated transcription,positive regulation of transcription by rna polymerase ii,nucleus localization
ENSG00000149262	INTS4,snrna processing,transcription elongation by rna polymerase ii,protein binding,nucleoplasm localization,integrator complex subunit,rna processing regulation
ENSG00000127054	INTS11,integrator complex subunit,rna endonuclease activity,hydrolase activity,protein binding,snrna processing,regulation of transcription elongation by rna polymerase ii
ENSG00000196235	SUPT5H,transcriptional regulation,rna binding,chromatin remodeling,transcription elongation,nucleoplasmic localization,protein-protein interactions
ENSG00000122484	RPAP2,rna polymerase ii ctd heptapeptide repeat s2 phosphatase activity,calmodulin-dependent protein phosphatase activity,histone h2axs140 phosphatase activity,rna polymerase ii ctd heptapeptide repeat y1 phosphatase activity,chromatin remodeling,regulation of transcription by rna polymerase ii
ENSG00000148377	IDI2,isopentenyl-diphosphate delta-isomerase activity,metal ion binding,protein binding,isoprenoid biosynthetic process,cholesterol biosynthetic process,lipid metabolism regulation
ENSG00000117682	DHDDS,transferase activity,dolichol biosynthesis,protein glycosylation,alkyl transferase activity,cytosolic localization,cell survival pathways
ENSG00000153989	NUS1,dolichol biosynthetic process,lipid metabolic process,angiogenesis,vascular endothelial growth factor signaling pathway,protein glycosylation,prenyltransferase activity
ENSG00000164494	PDSS2,all-trans-decaprenyl-diphosphate synthase activity,all-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific) activity,protein binding,prenyltransferase activity,isoprenoid biosynthetic process,heterotetrameric polyprenyl diphosphate synthase complex localization
ENSG00000148459	PDSS1,all-trans-decaprenyl-diphosphate synthase activity,prenyltransferase activity,ubiquinone biosynthetic process,isoprenoid biosynthesis,metal ion binding,polyprenyl diphosphate synthase complex localization
ENSG00000036530	CYP46A1,cholesterol 24-hydroxylase activity,sterol metabolic process,cholesterol catabolic process,protein localization to membrane raft,nervous system development,xenobiotic metabolic process
ENSG00000140459	CYP11A1,cholesterol monooxygenase (side-chain-cleaving) activity,iron ion binding,oxidoreductase activity,heme binding,mitochondrial inner membrane localization,c21-steroid hormone biosynthesis
ENSG00000167780	SOAT2,cholesterol binding,fatty-acyl-coa binding,protein binding,acylation of sterols,lipid metabolism regulation,membrane biogenesis
ENSG00000057252	SOAT1,sterol o-acyltransferase activity,fatty acid-coa binding,cholesterol binding,endoplasmic reticulum localization,low-density lipoprotein particle clearance,macrophage-derived foam cell differentiation
ENSG00000138135	CH25H,cholesterol 25-hydroxylase activity,lipid metabolic process,lipid biosynthetic process,cholesterol metabolic process,monooxygenase activity,oxidoreductase activity
ENSG00000170835	CEL,acetylesterase activity,catalytic activity,heparin binding,retinol metabolic process,lipid catabolic process,ceramide catabolic process
ENSG00000083720	OXCT1,succinyl-coa:3-oxo-acid coa-transferase activity,coa-transferase activity,ketone catabolic process,lipid metabolic process,mitochondrial matrix localization,transferase activity
ENSG00000081760	AACS,acetoacetate-coa ligase activity,fatty acid metabolism,ketone body biosynthesis,lipid metabolic process,cytosolic localization,insulin signaling regulation
ENSG00000198754	OXCT2,succinyl-coa:3-oxo-acid coa-transferase activity,transferase activity,ketone body catabolic process,mitochondrial matrix localization,coenzyme a binding,fatty acid metabolism
ENSG00000148090	AUH,branched-chain amino acid catabolism,l-leucine breakdown,fatty acid beta-oxidation,mitochondrial localization,rna binding activity,lyase activity
ENSG00000146151	HMGCLL1,hydroxymethylglutaryl-coa lyase activity,l-leucine catabolic process,ketone body biosynthetic process,metal ion binding,lipid metabolic process,endoplasmic reticulum localization
ENSG00000135929	CYP27A1,oxidoreductase activity,monooxygenase activity,heme binding,mitochondrial membrane localization,vitamin d3 25-hydroxylase activity,calcitriol biosynthetic process
ENSG00000186104	CYP2R1,iron ion binding,oxidoreductase activity,monooxygenase activity,steroid hydroxylase activity,vitamin d3 25-hydroxylase activity,lipid metabolic process
ENSG00000092094	OSGEP,tsae synthesis activity,transferring groups other than amino-acyl groups,n(6)-l-threonylcarbamoyladenine synthase activity,protein binding,acylation activity,metal ion binding
ENSG00000104472	CHRAC1,dna binding,dna-directed dna polymerase activity,protein heterodimerization activity,nucleosome assembly,chromatin remodeling,dna-templated dna replication
ENSG00000214022	REPIN1,rna binding,sequence-specific dna binding,chromatin insulator sequence binding,dna binding,metal ion binding,fatty acid transport regulation
ENSG00000137731	FXYD2,ion channel regulator activity,atpase activator activity,protein-macromolecule adaptor activity,regulation of monoatomic ion transport,intracellular potassium ion homeostasis,plasma membrane localization
ENSG00000099377	HSD3B7,steroid biosynthetic process,oxidoreductase activity,lipid droplet localization,nad or nadp as acceptor,acting on the ch-oh group of donors,cholest-5-ene-3-beta
ENSG00000116044	NFE2L2,oxidative stress response regulation,angiogenesis regulation,dna-binding transcription activator activity,er stress response regulation,ubiquitin protein ligase binding,cellular redox homeostasis
ENSG00000165156	ZHX1,dna-binding transcription factor activity,rna polymerase ii-specific protein binding,protein heterodimerization activity,chromatin remodeling,transcriptional regulation,nucleus localization
ENSG00000137309	HMGA1,transcription coactivator binding,rna binding,chromatin binding,dna binding,structural constituent of chromatin,molecular function activator activity
ENSG00000125629	INSIG2,lipid binding,cholesterol metabolic process,sterol biosynthetic process,cellular response to insulin stimulus,oxysterol binding,protein sequestering activity
ENSG00000015520	NPC1L1,cholesterol binding,lipid transporter activity,intestinal cholesterol absorption,vitamin e metabolic process,cellular response to sterol depletion,plasma membrane localization
ENSG00000186480	INSIG1,lipid binding,protein sequestering activity,oxysterol binding,cholesterol homeostasis,srebp signaling pathway,cellular response to insulin stimulus
ENSG00000170522	ELOVL6,transferase activity,fatty acid elongase activity,acyltransferase activity,protein binding,lipid biosynthesis,vlcfa biosynthetic process
ENSG00000107960	STN1,telomere maintenance via telomere lengthening,telomeric dna binding,single-stranded telomeric dna binding,dna binding,telomere capping,negative regulation of telomerase
ENSG00000133302	SLF1,dna repair,protein sumoylation,telomere maintenance,chromatin looping,nuclear localization,dna damage response
ENSG00000002016	RAD52,dna repair via homologous recombination,single-strand annealing,dna binding,protein-dna complex formation,nucleoplasm localization,genomic instability prevention
ENSG00000196419	XRCC6,dna binding,helicase activity,atp-dependent activity,dna end binding,nhej pathway,telomere maintenance
ENSG00000198887	SMC5,dna repair,chromosome segregation,telomere maintenance,genomic instability,aneuploidy,nuclear localization
ENSG00000203812	H2AC18,histone h2a type 2-a formation,dna binding,structural constituent of chromatin,heterochromatin formation,nucleosome localization,genomic integrity maintenance
ENSG00000152457	DCLRE1C,endonuclease activity,5'-3' exonuclease activity,dna binding,single-stranded dna endodeoxyribonuclease activity,nonhomologous end joining complex localization,v(d)j recombination
ENSG00000079246	XRCC5,telomere maintenance,dna repair,genome stability,nhej and v(d)j recombination,ku70:ku80 complex interaction,smooth muscle cell proliferation regulation
ENSG00000104885	DOT1L,histone h3k79 trimethyltransferase activity,methylation,dna repair,heterochromatin formation,chromatin remodeling,telomere organization
ENSG00000272196	H2AC19,histone modification activity,nucleosome assembly,chromatin remodeling,dna repair (base excision repair),cell cycle progression regulation,genomic stability maintenance
ENSG00000283847	HBP1,wnt signaling pathway,rna polymerase ii cis-regulatory region sequence-specific dna binding,dna-binding transcription factor activity,chromatin interaction,nuclear speck regulation,regulation of cell cycle
ENSG00000111704	NANOG,transcriptional regulation,rna polymerase ii-specific dna binding,endodermal cell fate specification,cell differentiation,negative regulation of transcription by rna polymerase ii,chromatin localization
ENSG00000229094	POU5F1,endodermal cell fate specification,rna polymerase ii-specific dna binding,sequence-specific double-stranded dna binding,regulation of dna-templated transcription,blastocyst development,nucleus localization
ENSG00000141867	BRD4,histone reader activity,chromatin binding,rna polymerase ii ctd heptapeptide repeat kinase activity,p53 binding,chromatin remodeling,g2/m transition of mitotic cell cycle
ENSG00000120656	TAF12,transcription initiation activity,dna binding activity,rna polymerase ii general transcription initiation factor activity,tbp-class protein binding,regulation of dna-templated transcription,positive regulation of transcription by rna polymerase ii
ENSG00000037474	NSUN2,s-adenosylmethionine-dependent methyltransferase activity,rna binding,trna methylation,methylation,hair follicle maturation,spermatogenesis
ENSG00000119772	DNMT3A,dna methylation,methylation-dependent gene expression regulation,heterochromatin formation,cellular response to hypoxia,nucleus localization,rna polymerase ii cis-regulatory region sequence-specific dna binding
ENSG00000175745	NR2F1,sequence-specific dna binding,nuclear receptor activity,transcription factor activity,dna-templated transcription,cell differentiation regulation,transcriptional repression
ENSG00000119760	SUPT7L,transcription coactivator activity,protein heterodimerization activity,regulation of rna splicing,maintenance of protein location in nucleus,dna repair regulation,positive regulation of dna-templated transcription
ENSG00000077463	SIRT6,nad-dependent protein lysine deacetylase activity,histone deacetylase activity,transcription corepressor activity,chromatin binding,dna repair,double-strand break repair
ENSG00000117139	KDM5B,lysine demethylase activity,histone h3 demethylase activity,sequence-specific double-stranded dna binding,nucleic acid binding,transcription corepressor activity,chromatin remodeling
ENSG00000143384	MCL1,anti-apoptotic function,cellular homeostasis regulation,dna damage response,autophagy regulation,bh3 domain binding activity,mitochondrial localization
ENSG00000162676	GFI1,zinc finger protein activity,dna binding and transcriptional repression,rna polymerase ii-specific dna binding,negative regulation of vitamin d biosynthetic process,negative regulation of transcription by rna polymerase ii,regulation of interleukin-6-mediated signaling pathway
ENSG00000196284	SUPT3H,regulation of dna repair,transcription coactivator activity,protein heterodimerization,regulation of transcription by rna polymerase ii,nucleus localization,positive regulation of dna-templated transcription
ENSG00000137193	PIM1,histone kinase activity,protein phosphorylation,cellular proliferation,vitamin d receptor signaling,apoptotic process,chromatin remodeling
ENSG00000080839	RBL1,negative regulation of g1/s transition,rna polymerase ii transcription regulatory region sequence-specific dna binding,chromatin organization,negative regulation of cellular senescence,regulation of lipid kinase activity,protein binding
ENSG00000131914	LIN28A,mirna binding,rna binding,g-quadruplex rna binding,translation initiation factor binding,pre-mirna processing,regulatory ncrna-mediated gene silencing
ENSG00000205250	E2F4,dna-binding transcription activator activity,dna-binding transcription factor activity,cell cycle regulation,rna polymerase ii cis-regulatory region sequence-specific dna binding,epithelial cell development,sequence-specific double-stranded dna binding
ENSG00000189299	FOXR2,sequence-specific dna binding activity,dna-binding transcription factor activity,rna polymerase ii interaction,chromatin regulation,nucleus localization,transcriptional regulator role
ENSG00000119139	TJP2,cell-cell adhesion,regulation of membrane permeability,tight junction maintenance,epithelial polarity,gdp metabolic process,cadherin binding
ENSG00000006634	DBF4,nucleic acid binding,zinc ion binding,protein serine/threonine kinase activator activity,enzyme activator activity,metal ion binding,nuclear localization
ENSG00000164306	PRIMPOL,dna-directed primase activity,dna polymerase activity,error-prone translesion synthesis,synthesis of primer,mitochondrial matrix localization,response to uv radiation
ENSG00000151164	RAD9B,dna replication checkpoint signaling,mitotic intra-s dna damage checkpoint signaling,dna repair,cellular response to ionizing radiation,nucleoplasm localization,protein binding
ENSG00000097046	CDC7,histone kinase activity,protein serine/threonine kinase activity,regulation of g2/m transition,chromatin remodeling,double-strand break repair,promotion of cell proliferation and survival
ENSG00000171792	RHNO1,dna repair via alternative nonhomologous end joining,recombinational repair,dna damage checkpoint signaling,chromatin organization,cellular response to uv,protein localization to site of double-strand break
ENSG00000004799	PDK4,pyruvate dehydrogenase kinase activity,glucose homeostasis,regulation of ketone metabolic process,fatty acid biosynthesis,cellular response to starvation,mitochondrial matrix localization
ENSG00000110435	PDHX,acetyltransferase activity,pyruvate dehydrogenase (nad+) activity,protein binding,acetyl-coa biosynthetic process from pyruvate,mitochondrial matrix localization,pyrurate dehydrogenase complex association
ENSG00000181192	DHTKD1,oxidoreductase activity,mitochondrial localization,thiamine pyrophosphate binding,oxoglutarate dehydrogenase activity,mitochondrial matrix component,disulfide as acceptor
ENSG00000248098	BCKDHA,mitochondrial localization,branched-chain amino acid catabolic process,oxidoreductase activity,metal ion binding,energy production pathways,nutrient availability regulation
ENSG00000090857	PDPR,pyruvate dehydrogenase complex regulation,mitochondrial matrix localization,energy metabolism regulation,glycolysis activation,lactate production promotion,mitochondrial redox balance maintenance
ENSG00000163114	PDHA2,glucose metabolic process,tricarboxylic acid cycle,pyruvate dehydrogenase (acetyl-transferring) activity,metal ion binding,protein binding,oxidoreductase activity
ENSG00000168291	PDHB,glucose metabolic process,pyruvate dehydrogenase activity,oxidoreductase activity,mitochondrial localization,protein binding,cellular respiration
ENSG00000172840	PDP2,pyruvate dehydrogenase phosphatase activity,cation binding,protein serine/threonine phosphatase activity,metal ion binding,signal transduction,t-helper cell differentiation
ENSG00000083123	BCKDHB,branched-chain alpha-keto acid dehydrogenase activity,lipid metabolic process regulation,bckdhb expression maintenance,mitochondrial function and integrity,nuclear processes involvement,bcaa catabolism regulation
ENSG00000119689	DLST,acyltransferase activity,dihydrolipoyllysine-residue succinyltransferase activity,pyruvate dehydrogenase complex participation,tca cycle involvement,amino acid catabolism,lysine metabolic process localization
ENSG00000137992	DBT,acetyltransferase activity,oxidoreductase complex,branched-chain alpha-keto acid dehydrogenase activity,cytoplasmic localization,mitochondrial matrix interaction,amino acid catabolism
ENSG00000131828	PDHA1,pyruvate dehydrogenase activity,oxidoreductase activity,glucose metabolism,protein binding,mitochondrial localization,pyruvate to acetyl-coa conversion
ENSG00000144182	LIPT1,lipid metabolic process,lipoyltransferase activity,protein modification process,mitochondrial matrix localization,acyltransferase activity,negative regulation of mitochondrial function
ENSG00000164951	PDP1,pyruvate dehydrogenase (acetyl-transferring) phosphatase activity,cation binding,protein serine/threonine phosphatase activity,signal transduction,peptidyl-threonine dephosphorylation,mitochondrial matrix localization
ENSG00000067992	PDK3,pyruvate dehydrogenase (acetyl-transferring) kinase activity,protein serine/threonine kinase activity,glucose metabolism regulation,acetyl-coa biosynthetic process from pyruvate,reactive oxygen species metabolic process,hypoxia-inducible factor-1alpha signaling pathway
ENSG00000005882	PDK2,pyruvate dehydrogenase kinase activity,regulation of acetyl-coa biosynthesis,glucose metabolism regulation,insulin receptor signaling pathway involvement,mitochondrial localization,regulation of energy production
ENSG00000131069	ACSS2,ligase activity,protein binding,transcription coactivator activity,acetyl-coa biosynthetic process from acetate,lipid metabolic process,lipid biosynthetic process
ENSG00000172497	ACOT12,acetyl-coa hydrolase activity,thiolester hydrolase activity,lipid binding,atp binding,fatty acid metabolic process,acyt-coa metabolic process
ENSG00000154930	ACSS1,acetate-coa ligase activity,ligase activity,lipid metabolic process,acetyl-coa biosynthetic process from acetate,ethanol catabolic process,mitochondrial matrix localization
ENSG00000172340	SUCLG2,succinate-coa ligase activity,gdp binding,atp binding,magnesium ion binding,nucleotide binding,ligase activity
ENSG00000166411	IDH3A,isocitrate dehydrogenase (nad+) activity,mitochondrion localization,tca cycle regulation,carbohydrate metabolism regulation,nuclear-mitochondrial interaction,metal ion binding
ENSG00000082212	ME2,malic enzyme activity,mitochondrial localization,nad binding,metal ion binding,gluconeogenesis,pentose phosphate pathway
ENSG00000177156	TALDO1,pentose phosphate pathway activity,carbohydrate metabolism,fructose 6-phosphate conversion,nadph production,redox balance regulation,protein binding interaction
ENSG00000143627	PKLR,glycolytic process,cellular response to insulin stimulus,pyruvate biosynthetic process,glycogen metabolic process,cellular response to epinephrine stimulus,kinase activity
ENSG00000136872	ALDOB,fructose binding,lyase activity,glycolytic process,gluconeogenesis,fructose catabolic process,negative regulation of pentose-phosphate shunt
ENSG00000163931	TKT,transketolase activity,pentose phosphate pathway regulation,glyceraldehyde-3-phosphate metabolism,non-oxidative glycolysis,calcium ion binding,metal ion binding
ENSG00000105220	GPI,glucose-6-phosphate isomerase activity,carbohydrate derivative binding,monomer binding,glycolytic process,carbohydrate metabolic process,gdp-mannose biosynthetic process from glucose
ENSG00000151376	ME3,malic enzyme activity,nad or nadp as acceptor binding,metal ion binding,aerobic respiration localization,glucose metabolism regulation,oxidoreductase activity
ENSG00000268475	AC011462.2,protein kinase activity,signaling pathway regulation,cell growth and proliferation,gene expression alterations,oncogenic potential,unknown specific mechanisms
ENSG00000049239	H6PD,glucose metabolism,nadp binding,carbohydrate binding,6-phosphogluconolactonase activity,oxidoreductase activity,endoplasmic reticulum localization
ENSG00000111716	LDHB,l-lactate dehydrogenase activity,protein binding,oxidoreductase activity,carboxylic acid metabolic process,cytoplasmic localization,glycolytic flux support
ENSG00000151005	TKTL2,transketolase activity,pentose phosphate pathway,nucleotide synthesis,thiamine pyrophosphate binding,metabolic reprogramming,cytoplasmic localization
ENSG00000166796	LDHC,lactate dehydrogenase activity,oxidoreductase activity,l-lactate dehydrogenase activity,pyruvate catabolic process,carboxylic acid metabolic process,cytoplasmic localization
ENSG00000135094	SDS,threonine deaminase activity,pyridoxal phosphate binding,l-serine ammonia-lyase activity,protein binding,lyase activity,cytosol localization
ENSG00000145020	AMT,glycine catabolic process,methylation,aminomethyltransferase activity,cellular energy metabolism,nucleoplasm localization,mitochondrial involvement
ENSG00000151498	ACAD8,acyl-coa dehydrogenase activity,oxidoreductase activity,short-chain 2-methyl fatty acyl-coa dehydrogenase activity,flavin adenine dinucleotide binding,lipid metabolic process,valine catabolic process
ENSG00000135821	GLUL,glutamine synthetase activity,ligase activity,transferase activity,glucose response regulation,cell population proliferation,angiogenesis
ENSG00000284320	SHMT1,one-carbon metabolic process,tetrahydrofolate synthesis,glycine regulation,protein deubiquitination,tetrahydrofolate interconversion,purine and pyrimidine synthesis
ENSG00000105552	BCAT2,transaminase activity,protein binding,l-valine-2-oxoglutarate transaminase activity,l-leucine-2-oxoglutarate transaminase activity,amino acid biosynthesis,lipid metabolism
ENSG00000182199	SHMT2,glycine hydroxymethyltransferase activity,tetrahydrofolate interconversion,one-carbon metabolic process,mitochondrial translation regulation,aerobic respiration regulation,glycine biosynthetic process
ENSG00000091483	FH,tricarboxylic acid cycle activity,fumarate hydratase activity,arginine metabolic process,malate metabolic process,dna repair activity,cytosolic localization
ENSG00000196177	ACADSB,fatty acid dehydrogenase activity,acyl-coa binding,branched-chain amino acid metabolism,isoleucine catabolic process,mitochondrial matrix localization,fatty acid beta-oxidation
ENSG00000116761	CTH,cystathionine gamma-lyase activity,homocysteine desulfhydrase activity,l-cysteine desulfhydrase activity,selenocystathionine gamma-lyase activity,protein binding,pyridoxal phosphate binding
ENSG00000197444	OGDHL,glycolytic process,thiamine pyrophosphate binding,metal ion binding,disulfide acceptor activity,oxidoreductase activity,tricarboxylic acid cycle localization
ENSG00000159423	ALDH4A1,proline catabolic process,oxidoreductase activity,electron transfer activity,1-pyrroline-5-carboxylate dehydrogenase activity,protein binding,mitochondrial localization
ENSG00000175198	PCCA,biotin binding,propionyl-coa carboxylase activity,ligase activity,atp binding,mitochondrial localization,fatty acid metabolic process
ENSG00000178445	GLDC,glycine dehydrogenase activity,electron transfer activity,mitochondrial localization,glycine catabolic process,redox balance regulation,cellular adaptation to leukemia inhibitory factor
ENSG00000103507	BCKDK,pyruvate dehydrogenase kinase activity,protein-serine/threonine kinase activity,glycolysis regulation,amino acid catabolic process,lipid biosynthesis regulation,branched-chain amino acid metabolism
ENSG00000139410	SDSL,threonine deaminase activity,l-serine ammonia-lyase activity,glutamate racemase activity,pyrroline-5-carboxylate reductase activity,amino acid metabolic process,threonine catabolic process
ENSG00000128928	IVD,acyl-coa dehydrogenase activity,oxidoreductase activity,fatty acid metabolic process,cellular catabolic process,small molecule metabolic process,mitochondrion localization
ENSG00000114054	PCCB,fatty acid biosynthesis,pccb ligase activity,atp binding,protein binding,mitochondrial localization,branched-chain amino acid metabolic process
ENSG00000060982	BCAT1,transaminase activity,branched-chain-amino-acid transaminase activity,l-leucine-2-oxoglutarate transaminase activity,l-valine-2-oxoglutarate transaminase activity,amino acid biosynthesis,lipid metabolic process
ENSG00000163644	PPM1K,rna polymerase ii ctd heptapeptide repeat phosphatase activity,calmodulin-dependent protein phosphatase activity,branched-chain amino acid catabolic process,chromatin remodeling,manganese ion binding,mitochondrial matrix localization
ENSG00000006611	USH1C,spectrin binding,protein binding,sensory perception of sound,cell differentiation,microvillus length regulation,auditory receptor cell morphogenesis
ENSG00000105926	MPP6,adherens junction regulation,epithelial-to-mesenchymal transition,β-catenin signaling,wnt pathway modification,cell-cell adhesion modulation,plasma membrane localization
ENSG00000213977	TAX1BP3,wnt signaling activation,gtpase activity regulation,cellular interaction modulation,negative protein localization regulation,plasma membrane localization,cytoskeleton organization
ENSG00000072415	MPP5,cell-extracellular matrix interactions,regulation of cell migration,modulation of oncogenic pathways,cytoskeletal protein interaction,metastasis promotion,cell adhesion modulation
ENSG00000184144	CNTN2,microtubule cytoskeleton organization,cell-cell adhesion mediator activity,neuron migration,axon guidance,carbohydrate binding,protein binding
ENSG00000150054	MPP7,signaling adaptor activity,protein binding,molecular adaptor activity,cadherin binding,cellular polarity establishment,bicellular tight junction assembly
ENSG00000108852	MPP2,structural constituent of postsynaptic density,protein binding,transmembrane transporter binding,excitatory postsynaptic potential,long-term synaptic potentiation,maintenance of postsynaptic density structure
ENSG00000114993	RTKN,septin ring organization,signal transduction,rho protein signal transduction,gtpase binding activity,gtp inhibitor function,cytosol localization
ENSG00000107736	CDH23,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,cytosolic calcium ion concentration regulation,cell migration,inner ear development,cochlea development,sensory perception of sound
ENSG00000150275	PCDH15,calcium ion binding,homophilic cell adhesion via plasma membrane adhesion molecules,locomotory behavior,auditory receptor cell stereocilium organization,sensory perception of sound,cell adhesion
ENSG00000137474	MYO7A,motor protein activity,atp-binding,microfilament motor activity,cytoskeleton interaction,calmodulin binding,auditory receptor cell differentiation
ENSG00000182040	USH1G,pre-mrna splicing regulator activity,spectrin binding,protein binding,clathrin-dependent endocytosis regulation,photoreceptor cell maintenance,inner ear receptor cell differentiation
ENSG00000042781	USH2A,photoreceptor cell maintenance,hair cell differentiation,inner ear receptor cell differentiation,sensory perception of sound,visual perception,collagen binding activity
ENSG00000095397	WHRN,mechanical stimulus detection,sensory perception of sound,auditory receptor cell stereocilium organization,establishment of localization in cell,paranodal junction maintenance,gene expression regulation
ENSG00000186862	PDZD7,protein binding,cellular organization,plasma membrane localization,stereocilium organization,auditory receptor cell development,detection of mechanical stimuli
ENSG00000284290	ANKS4B,protein binding,microvillus localization,brush border assembly,cell differentiation,endoplasmic reticulum stress response,plasma membrane localization
ENSG00000169994	MYO7B,actin filament-based movement,cytoskeletal motor activity,microfilament motor activity,brush border assembly,cell differentiation,sensory perception of sound
ENSG00000164199	ADGRV1,calcium ion binding activity,g-protein coupled receptor activity,adenylate cyclase inhibitor activity,cell surface receptor signaling pathway,regulation of protein stability,positive regulation of bone mineralization
ENSG00000028203	VEZT,cell-cell adhesion,myosin binding,cytoplasmic vesicle localization,nucleoplasm localization,stereocilium membrane localization,anchoring junction regulation
ENSG00000181585	TMIE,transmembrane protein localization,sensory perception of sound,inner ear morphogenesis,plasma membrane expression,auditory system development,none
ENSG00000197753	LHFPL5,plasma membrane localization,protein binding,monoatomic ion transport,detection of mechanical stimulus involved in sensory perception,auditory receptor cell stereocilium organization,stereocilium tip localization
ENSG00000278728	CNTNAP2,clustering of voltage-gated potassium channels,neuronal signaling regulation,protein binding,transmembrane protein localization,axolemma localization,juxtaparanode region interaction
ENSG00000033867	SLC4A7,bicarbonate transmembrane transporter activity,sodium:bicarbonate symporter activity,monoatomic anion transmembrane transporter activity,regulation of intracellular ph,biological process as monoatomic ion transport,localization in plasma membrane and basolateral plasma membrane
ENSG00000163646	CLRN1,protein binding,sensory perception of sound,auditory receptor cell stereocilium organization,cell motility,actin filament organization,neuromuscular process controlling balance
ENSG00000170471	RALGAPB,gtpase activator activity,protein heterodimerization activity,ral protein signal transduction,regulation of small gtpase mediated signal transduction,cell growth regulation,cancer cell survival
ENSG00000188559	RALGAPA2,protein heterodimerization activity,gtpase activator activity,small gtpase mediated signal transduction,plasma membrane localization,nucleus involvement,regulation of cell growth and division
